SK_ID_CURR,TARGET,NAME_CONTRACT_TYPE,CODE_GENDER,FLAG_OWN_CAR,FLAG_OWN_REALTY,CNT_CHILDREN,AMT_INCOME_TOTAL,AMT_CREDIT,AMT_ANNUITY,AMT_GOODS_PRICE,NAME_TYPE_SUITE,NAME_INCOME_TYPE,NAME_EDUCATION_TYPE,NAME_FAMILY_STATUS,NAME_HOUSING_TYPE,REGION_POPULATION_RELATIVE,DAYS_BIRTH,DAYS_EMPLOYED,DAYS_REGISTRATION,DAYS_ID_PUBLISH,OWN_CAR_AGE,FLAG_MOBIL,FLAG_EMP_PHONE,FLAG_WORK_PHONE,FLAG_CONT_MOBILE,FLAG_PHONE,FLAG_EMAIL,OCCUPATION_TYPE,CNT_FAM_MEMBERS,REGION_RATING_CLIENT,REGION_RATING_CLIENT_W_CITY,WEEKDAY_APPR_PROCESS_START,HOUR_APPR_PROCESS_START,REG_REGION_NOT_LIVE_REGION,REG_REGION_NOT_WORK_REGION,LIVE_REGION_NOT_WORK_REGION,REG_CITY_NOT_LIVE_CITY,REG_CITY_NOT_WORK_CITY,LIVE_CITY_NOT_WORK_CITY,ORGANIZATION_TYPE,EXT_SOURCE_1,EXT_SOURCE_2,EXT_SOURCE_3,APARTMENTS_AVG,BASEMENTAREA_AVG,YEARS_BEGINEXPLUATATION_AVG,YEARS_BUILD_AVG,COMMONAREA_AVG,ELEVATORS_AVG,ENTRANCES_AVG,FLOORSMAX_AVG,FLOORSMIN_AVG,LANDAREA_AVG,LIVINGAPARTMENTS_AVG,LIVINGAREA_AVG,NONLIVINGAPARTMENTS_AVG,NONLIVINGAREA_AVG,APARTMENTS_MODE,BASEMENTAREA_MODE,YEARS_BEGINEXPLUATATION_MODE,YEARS_BUILD_MODE,COMMONAREA_MODE,ELEVATORS_MODE,ENTRANCES_MODE,FLOORSMAX_MODE,FLOORSMIN_MODE,LANDAREA_MODE,LIVINGAPARTMENTS_MODE,LIVINGAREA_MODE,NONLIVINGAPARTMENTS_MODE,NONLIVINGAREA_MODE,APARTMENTS_MEDI,BASEMENTAREA_MEDI,YEARS_BEGINEXPLUATATION_MEDI,YEARS_BUILD_MEDI,COMMONAREA_MEDI,ELEVATORS_MEDI,ENTRANCES_MEDI,FLOORSMAX_MEDI,FLOORSMIN_MEDI,LANDAREA_MEDI,LIVINGAPARTMENTS_MEDI,LIVINGAREA_MEDI,NONLIVINGAPARTMENTS_MEDI,NONLIVINGAREA_MEDI,FONDKAPREMONT_MODE,HOUSETYPE_MODE,TOTALAREA_MODE,WALLSMATERIAL_MODE,EMERGENCYSTATE_MODE,OBS_30_CNT_SOCIAL_CIRCLE,DEF_30_CNT_SOCIAL_CIRCLE,OBS_60_CNT_SOCIAL_CIRCLE,DEF_60_CNT_SOCIAL_CIRCLE,DAYS_LAST_PHONE_CHANGE,FLAG_DOCUMENT_2,FLAG_DOCUMENT_3,FLAG_DOCUMENT_4,FLAG_DOCUMENT_5,FLAG_DOCUMENT_6,FLAG_DOCUMENT_7,FLAG_DOCUMENT_8,FLAG_DOCUMENT_9,FLAG_DOCUMENT_10,FLAG_DOCUMENT_11,FLAG_DOCUMENT_12,FLAG_DOCUMENT_13,FLAG_DOCUMENT_14,FLAG_DOCUMENT_15,FLAG_DOCUMENT_16,FLAG_DOCUMENT_17,FLAG_DOCUMENT_18,FLAG_DOCUMENT_19,FLAG_DOCUMENT_20,FLAG_DOCUMENT_21,AMT_REQ_CREDIT_BUREAU_HOUR,AMT_REQ_CREDIT_BUREAU_DAY,AMT_REQ_CREDIT_BUREAU_WEEK,AMT_REQ_CREDIT_BUREAU_MON,AMT_REQ_CREDIT_BUREAU_QRT,AMT_REQ_CREDIT_BUREAU_YEAR
100003,0,Cash loans,F,N,N,0,270000.0,1293502.5,35698.5,1129500.0,Family,State servant,Higher education,Married,House / apartment,0.0035409999999999,-16765,-1188,-1186.0,-291,,1,1,0,1,1,0,Core staff,2.0,1,1,MONDAY,11,0,0,0,0,0,0,School,0.3112673113812225,0.6222457752555098,,0.0959,0.0529,0.9851,0.7959999999999999,0.0605,0.08,0.0345,0.2917,0.3333,0.013,0.0773,0.0549,0.0039,0.0098,0.0924,0.0538,0.9851,0.804,0.0497,0.0806,0.0345,0.2917,0.3333,0.0128,0.079,0.0554,0.0,0.0,0.0968,0.0529,0.9851,0.7987,0.0608,0.08,0.0345,0.2917,0.3333,0.0132,0.0787,0.0558,0.0039,0.01,reg oper account,block of flats,0.0714,Block,No,1.0,0.0,1.0,0.0,-828.0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
100167,0,Cash loans,F,N,Y,0,180000.0,427500.0,46170.0,427500.0,Unaccompanied,Commercial associate,Secondary / secondary special,Civil marriage,House / apartment,0.026392,-15127,-1039,-4221.0,-652,,1,1,0,1,1,0,,2.0,2,2,FRIDAY,16,0,0,0,0,1,1,Hotel,,0.5513078693516321,0.1614630800057724,0.0082,,0.9732,,,0.0,0.069,0.0417,,,,0.0084,,0.0,0.0084,,0.9732,,,0.0,0.069,0.0417,,,,0.0088,,0.0,0.0083,,0.9732,,,0.0,0.069,0.0417,,,,0.0086,,0.0,,block of flats,0.0066,"Stone, brick",No,0.0,0.0,0.0,0.0,-1914.0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,1.0
100281,0,Cash loans,F,N,Y,1,112500.0,675000.0,21906.0,675000.0,Unaccompanied,Commercial associate,Secondary / secondary special,Widow,House / apartment,0.025164,-17957,-4942,-7868.0,-1478,,1,1,1,1,0,0,Sales staff,2.0,2,2,THURSDAY,15,0,0,0,0,0,0,Self-employed,,0.6609074073182916,0.622922000268356,0.0124,0.0,0.9702,0.5920000000000001,0.0017,0.0,0.069,0.0417,,0.0093,0.0101,0.0104,0.0,0.0,0.0126,0.0,0.9702,0.608,0.0017,0.0,0.069,0.0417,,0.0095,0.011,0.0108,0.0,0.0,0.0125,0.0,0.9702,0.5975,0.0017,0.0,0.069,0.0417,,0.0095,0.0103,0.0105,0.0,0.0,not specified,block of flats,0.0091,Wooden,No,0.0,0.0,0.0,0.0,-1631.0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,1.0,0.0,1.0
100549,0,Cash loans,F,N,Y,0,225000.0,545040.0,28350.0,450000.0,Other_A,Commercial associate,Secondary / secondary special,Single / not married,House / apartment,0.032561,-16540,-3845,-1484.0,-55,,1,1,0,1,0,0,Private service staff,1.0,1,1,TUESDAY,16,0,0,0,0,0,0,Trade: type 3,,0.1937330395635624,,0.0289,,0.929,0.0276,,,0.1034,0.1667,,0.0176,0.0151,0.0487,0.0386,0.0581,0.0294,,0.929,0.0657,,,0.1034,0.1667,,0.018,0.0165,0.0507,0.0389,0.0615,0.0291,,0.929,0.0406,,,0.1034,0.1667,,0.0179,0.0154,0.0496,0.0388,0.0593,reg oper account,block of flats,0.0509,"Stone, brick",No,0.0,0.0,0.0,0.0,0.0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,2.0
100581,0,Cash loans,F,N,Y,0,270000.0,835380.0,31950.0,675000.0,Unaccompanied,Commercial associate,Higher education,Married,House / apartment,0.072508,-19484,-3899,-919.0,-2939,,1,1,0,1,0,0,,2.0,1,1,THURSDAY,10,0,0,0,0,0,0,Business Entity Type 3,0.5427060571940289,0.6953905500360134,0.6738300778602003,0.2034,0.1291,0.9786,0.7076,0.0862,0.22,0.1897,0.3333,0.375,0.0,0.165,0.1932,0.0039,0.0297,0.1523,0.0984,0.9777,0.706,0.0,0.1611,0.1379,0.3333,0.375,0.0,0.1322,0.1479,0.0039,0.0002,0.1509,0.0961,0.9786,0.7115,0.1155,0.16,0.1379,0.3333,0.375,0.0,0.1231,0.1446,0.0039,0.0002,,block of flats,0.2985,Panel,No,12.0,1.0,12.0,0.0,-542.0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,7.0,0.0,2.0
100726,0,Cash loans,M,Y,N,0,202500.0,450000.0,17271.0,450000.0,"Spouse, partner",Working,Secondary / secondary special,Married,House / apartment,0.025164,-10231,-747,-487.0,-2917,64.0,1,1,0,1,0,0,Drivers,2.0,2,2,SATURDAY,9,0,0,0,1,1,0,Business Entity Type 3,,0.0625447551901638,0.3139166772114369,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,-812.0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
100795,0,Cash loans,M,Y,Y,1,180000.0,963000.0,31194.0,963000.0,Unaccompanied,Working,Secondary / secondary special,Married,House / apartment,0.026392,-13778,-786,-6325.0,-2410,4.0,1,1,0,1,0,0,Managers,3.0,2,2,FRIDAY,10,0,0,0,0,1,1,Business Entity Type 3,0.2108665251140528,0.1704378192505048,0.7700870700124128,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,-969.0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,1.0,0.0,0.0
100849,0,Cash loans,F,N,Y,0,225000.0,755190.0,30078.0,675000.0,Unaccompanied,State servant,Secondary / secondary special,Separated,House / apartment,0.020713,-21264,-5217,-12490.0,-1926,,1,1,1,1,1,0,Cooking staff,1.0,3,2,WEDNESDAY,10,0,0,0,0,0,0,Medicine,,0.4964047281986215,0.3217352821966848,0.0134,0.3762,0.9667,0.5444,0.0015,0.0,0.069,0.0417,0.0833,0.0071,0.0109,0.0115,0.0,0.0,0.0137,0.3904,0.9667,0.5622,0.0016,0.0,0.069,0.0417,0.0833,0.0072,0.0119,0.012,0.0,0.0,0.0135,0.3762,0.9667,0.5505,0.0016,0.0,0.069,0.0417,0.0833,0.0072,0.0111,0.0117,0.0,0.0,reg oper account,block of flats,0.0099,"Stone, brick",No,0.0,0.0,0.0,0.0,-1850.0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
100868,0,Cash loans,F,N,N,0,112500.0,450000.0,27324.0,450000.0,Unaccompanied,Commercial associate,Secondary / secondary special,Separated,House / apartment,0.0145199999999999,-19129,-2919,-314.0,-2673,,1,1,0,1,0,0,High skill tech staff,1.0,2,2,THURSDAY,14,0,0,0,0,0,0,Business Entity Type 3,,0.6086145238551975,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,0.0,2.0,0.0,-2005.0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,
100973,0,Cash loans,F,N,Y,0,202500.0,970380.0,28503.0,810000.0,Unaccompanied,State servant,Secondary / secondary special,Married,House / apartment,0.009175,-17825,-2640,-5697.0,-1356,,1,1,1,1,0,0,Security staff,2.0,2,2,THURSDAY,16,0,0,0,0,1,1,Other,,0.4180181059878525,0.5867400085415683,0.0784,0.0,0.9757,,,0.0,0.1379,0.1667,,0.0709,,0.0577,,0.0061,0.0798,0.0,0.9757,,,0.0,0.1379,0.1667,,0.0725,,0.0601,,0.0065,0.0791,0.0,0.9757,,,0.0,0.1379,0.1667,,0.0722,,0.0588,,0.0062,,block of flats,0.0507,"Stone, brick",No,0.0,0.0,0.0,0.0,-1063.0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,1.0,0.0,7.0
