SK_ID_CURR,TARGET,NAME_CONTRACT_TYPE,CODE_GENDER,FLAG_OWN_CAR,FLAG_OWN_REALTY,CNT_CHILDREN,AMT_INCOME_TOTAL,AMT_CREDIT,AMT_ANNUITY,AMT_GOODS_PRICE,NAME_TYPE_SUITE,NAME_INCOME_TYPE,NAME_EDUCATION_TYPE,NAME_FAMILY_STATUS,NAME_HOUSING_TYPE,REGION_POPULATION_RELATIVE,DAYS_BIRTH,DAYS_EMPLOYED,DAYS_REGISTRATION,DAYS_ID_PUBLISH,OWN_CAR_AGE,FLAG_MOBIL,FLAG_EMP_PHONE,FLAG_WORK_PHONE,FLAG_CONT_MOBILE,FLAG_PHONE,FLAG_EMAIL,OCCUPATION_TYPE,CNT_FAM_MEMBERS,REGION_RATING_CLIENT,REGION_RATING_CLIENT_W_CITY,WEEKDAY_APPR_PROCESS_START,HOUR_APPR_PROCESS_START,REG_REGION_NOT_LIVE_REGION,REG_REGION_NOT_WORK_REGION,LIVE_REGION_NOT_WORK_REGION,REG_CITY_NOT_LIVE_CITY,REG_CITY_NOT_WORK_CITY,LIVE_CITY_NOT_WORK_CITY,ORGANIZATION_TYPE,EXT_SOURCE_1,EXT_SOURCE_2,EXT_SOURCE_3,APARTMENTS_AVG,BASEMENTAREA_AVG,YEARS_BEGINEXPLUATATION_AVG,YEARS_BUILD_AVG,COMMONAREA_AVG,ELEVATORS_AVG,ENTRANCES_AVG,FLOORSMAX_AVG,FLOORSMIN_AVG,LANDAREA_AVG,LIVINGAPARTMENTS_AVG,LIVINGAREA_AVG,NONLIVINGAPARTMENTS_AVG,NONLIVINGAREA_AVG,APARTMENTS_MODE,BASEMENTAREA_MODE,YEARS_BEGINEXPLUATATION_MODE,YEARS_BUILD_MODE,COMMONAREA_MODE,ELEVATORS_MODE,ENTRANCES_MODE,FLOORSMAX_MODE,FLOORSMIN_MODE,LANDAREA_MODE,LIVINGAPARTMENTS_MODE,LIVINGAREA_MODE,NONLIVINGAPARTMENTS_MODE,NONLIVINGAREA_MODE,APARTMENTS_MEDI,BASEMENTAREA_MEDI,YEARS_BEGINEXPLUATATION_MEDI,YEARS_BUILD_MEDI,COMMONAREA_MEDI,ELEVATORS_MEDI,ENTRANCES_MEDI,FLOORSMAX_MEDI,FLOORSMIN_MEDI,LANDAREA_MEDI,LIVINGAPARTMENTS_MEDI,LIVINGAREA_MEDI,NONLIVINGAPARTMENTS_MEDI,NONLIVINGAREA_MEDI,FONDKAPREMONT_MODE,HOUSETYPE_MODE,TOTALAREA_MODE,WALLSMATERIAL_MODE,EMERGENCYSTATE_MODE,OBS_30_CNT_SOCIAL_CIRCLE,DEF_30_CNT_SOCIAL_CIRCLE,OBS_60_CNT_SOCIAL_CIRCLE,DEF_60_CNT_SOCIAL_CIRCLE,DAYS_LAST_PHONE_CHANGE,FLAG_DOCUMENT_2,FLAG_DOCUMENT_3,FLAG_DOCUMENT_4,FLAG_DOCUMENT_5,FLAG_DOCUMENT_6,FLAG_DOCUMENT_7,FLAG_DOCUMENT_8,FLAG_DOCUMENT_9,FLAG_DOCUMENT_10,FLAG_DOCUMENT_11,FLAG_DOCUMENT_12,FLAG_DOCUMENT_13,FLAG_DOCUMENT_14,FLAG_DOCUMENT_15,FLAG_DOCUMENT_16,FLAG_DOCUMENT_17,FLAG_DOCUMENT_18,FLAG_DOCUMENT_19,FLAG_DOCUMENT_20,FLAG_DOCUMENT_21,AMT_REQ_CREDIT_BUREAU_HOUR,AMT_REQ_CREDIT_BUREAU_DAY,AMT_REQ_CREDIT_BUREAU_WEEK,AMT_REQ_CREDIT_BUREAU_MON,AMT_REQ_CREDIT_BUREAU_QRT,AMT_REQ_CREDIT_BUREAU_YEAR
100095,0,Revolving loans,F,N,Y,2,67500.0,135000.0,6750.0,135000.0,Unaccompanied,Working,Secondary / secondary special,Married,House / apartment,0.020246,-18693,-1434,-10255.0,-2241,,1,1,0,1,1,0,Sales staff,4.0,3,3,THURSDAY,8,0,0,0,0,0,0,Trade: type 7,0.5866975916234531,0.3045061145430549,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,-1040.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,
103743,0,Revolving loans,F,N,Y,0,112500.0,135000.0,6750.0,135000.0,Family,Commercial associate,Higher education,Married,House / apartment,0.04622,-22015,-835,-2146.0,-4533,,1,1,1,1,0,0,,2.0,1,1,MONDAY,17,0,1,1,0,1,1,Business Entity Type 3,,0.629353324398331,0.5762088360175724,0.0619,0.0579,0.9747,,,0.0,0.1034,0.1667,,,,0.0502,,,0.063,0.0601,0.9747,,,0.0,0.1034,0.1667,,,,0.0523,,,0.0625,0.0579,0.9747,,,0.0,0.1034,0.1667,,,,0.0511,,,,block of flats,0.0516,Panel,No,0.0,0.0,0.0,0.0,-814.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,2.0
103916,0,Revolving loans,F,N,Y,0,90000.0,270000.0,13500.0,270000.0,Unaccompanied,Working,Higher education,Single / not married,Office apartment,0.022625,-9575,-1320,-4309.0,-2256,,1,1,0,1,0,0,Accountants,1.0,2,2,SATURDAY,14,0,0,0,0,0,0,Industry: type 7,,0.7421710333085877,,0.1485,0.1026,0.9896,0.8572,0.0741,0.16,0.1379,0.3333,0.375,0.1465,0.121,0.1705,0.0,0.0,0.1513,0.1065,0.9896,0.8628,0.0748,0.1611,0.1379,0.3333,0.375,0.1498,0.1322,0.1776,0.0,0.0,0.1499,0.1026,0.9896,0.8591,0.0745,0.16,0.1379,0.3333,0.375,0.149,0.1231,0.1736,0.0,0.0,not specified,block of flats,0.1746,Panel,No,6.0,0.0,6.0,0.0,-459.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
103929,0,Revolving loans,M,Y,Y,0,157500.0,675000.0,33750.0,675000.0,Unaccompanied,Commercial associate,Secondary / secondary special,Married,House / apartment,0.018801,-15121,-1381,-8935.0,-4672,11.0,1,1,0,1,0,1,Managers,2.0,2,2,MONDAY,10,0,0,0,0,0,0,Business Entity Type 3,,0.5840588623812155,0.4276573700350293,0.0495,0.0892,0.9692,0.5784,0.0567,0.0,0.1379,0.125,0.1667,0.0355,0.037,0.0561,0.0154,0.0208,0.0504,0.0925,0.9692,0.5949,0.0572,0.0,0.1379,0.125,0.1667,0.0363,0.0404,0.0585,0.0156,0.022,0.05,0.0892,0.9692,0.584,0.057,0.0,0.1379,0.125,0.1667,0.0361,0.0376,0.0571,0.0155,0.0212,reg oper account,block of flats,0.0796,"Stone, brick",No,1.0,0.0,1.0,0.0,-263.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,1.0,0.0,0.0
104008,0,Revolving loans,F,N,Y,0,112500.0,180000.0,9000.0,180000.0,Unaccompanied,Working,Secondary / secondary special,Separated,House / apartment,0.04622,-12205,-96,-5625.0,-4372,,1,1,0,1,0,0,Laborers,1.0,1,1,SATURDAY,12,0,0,0,0,1,1,Industry: type 4,0.4532943891214385,0.699474341626209,0.4066174366275036,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,-852.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,1.0
104096,0,Revolving loans,F,N,Y,1,67500.0,135000.0,6750.0,135000.0,Unaccompanied,Working,Secondary / secondary special,Married,House / apartment,0.019101,-12197,-681,-3421.0,-3306,,1,1,0,1,0,0,Sales staff,3.0,2,2,THURSDAY,15,0,0,0,0,0,0,Industry: type 3,,0.5875236298660909,0.0811859431667211,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,-376.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
104531,0,Revolving loans,M,N,Y,1,180000.0,180000.0,9000.0,180000.0,Unaccompanied,Working,Secondary / secondary special,Single / not married,House / apartment,0.018634,-15013,-1205,-1167.0,-4155,,1,1,0,1,0,0,Security staff,2.0,2,2,MONDAY,10,0,0,0,0,0,0,Business Entity Type 3,,0.4379515635713263,0.5280927512030451,0.0784,0.0539,0.9737,,,0.0,0.1379,0.1667,,0.0165,,0.0614,,0.0105,0.0798,0.0559,0.9737,,,0.0,0.1379,0.1667,,0.0169,,0.0639,,0.0112,0.0791,0.0539,0.9737,,,0.0,0.1379,0.1667,,0.0168,,0.0625,,0.0108,,block of flats,0.0759,"Stone, brick",No,0.0,0.0,0.0,0.0,-496.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,1.0,0.0,1.0
104642,0,Revolving loans,F,N,N,0,180000.0,225000.0,11250.0,225000.0,Other_B,Working,Secondary / secondary special,Married,House / apartment,0.072508,-14875,-3261,-8965.0,-5405,,1,1,0,1,1,0,High skill tech staff,2.0,1,1,WEDNESDAY,15,0,0,0,0,0,0,Government,0.5666492895692516,0.7559384805235027,,0.1031,0.1049,0.9747,,,0.0,0.1724,0.1667,,0.0,,0.0891,,0.0,0.105,0.1089,0.9747,,,0.0,0.1724,0.1667,,0.0,,0.0928,,0.0,0.1041,0.1049,0.9747,,,0.0,0.1724,0.1667,,0.0,,0.0907,,0.0,,block of flats,0.0701,Panel,No,0.0,0.0,0.0,0.0,-2713.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,
104664,0,Revolving loans,F,N,Y,0,112500.0,270000.0,13500.0,270000.0,Unaccompanied,Working,Incomplete higher,Single / not married,House / apartment,0.010147,-8359,-1197,-2465.0,-1032,,1,1,0,1,0,0,,1.0,2,2,FRIDAY,13,0,0,0,0,0,0,Business Entity Type 3,0.3668717647542611,0.5267967731731267,0.5352762504724826,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,2.0
105327,0,Revolving loans,F,N,Y,0,135000.0,405000.0,20250.0,405000.0,Family,Working,Secondary / secondary special,Single / not married,House / apartment,0.00733,-8411,-1158,-8164.0,-1084,,1,1,0,1,0,0,Sales staff,1.0,2,2,THURSDAY,15,0,0,0,1,1,0,Self-employed,,0.7011815656722634,0.5442347412142162,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,0.0,1.0,0.0,-688.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,1.0
