id,acidez_fija,acidez_volatil,acido_citrico,azucar_residual,cloruros,dioxido_azufre_libre,dioxido_azufre_total,densidad,ph,sulfatos,alcohol,calidad
0,7.4,0.7,0.0,1.9,0.076,11.0,34.0,0.9978,3.51,,9.4,Buena
1,7.8,0.88,0.0,2.6,0.098,25.0,67.0,0.9968,3.2,0.68,9.8,Buena
2,7.8,0.76,0.04,2.3,0.092,15.0,54.0,0.997,3.26,0.65,9.8,Buena
3,11.2,0.28,0.56,1.9,0.075,17.0,60.0,0.998,3.16,0.58,9.8,Excelente
4,7.4,0.7,0.0,1.9,0.076,11.0,34.0,0.9978,,0.56,9.4,Buena
5,7.9,0.6,0.06,1.6,0.069,15.0,59.0,0.9964,3.3,,9.4,Buena
6,5.6,0.615,0.0,1.6,0.089,16.0,59.0,0.9943,3.58,0.52,9.9,Buena
7,7.8,0.61,0.29,1.6,0.114,9.0,29.0,0.9974,3.26,1.56,9.1,Buena
8,7.9,,0.51,1.8,0.341,17.0,56.0,0.9969,3.04,1.08,9.2,Excelente
9,7.6,0.39,0.31,2.3,0.0819999999999999,23.0,71.0,0.9982,3.52,0.65,9.7,Buena
10,7.9,0.43,0.21,1.6,0.106,10.0,37.0,0.9966,3.17,,9.5,Buena
11,8.5,0.49,0.11,2.3,0.084,9.0,67.0,0.9968,3.17,0.53,9.4,Buena
12,6.9,0.4,0.14,2.4,0.085,21.0,40.0,0.9968,3.43,0.63,9.7,Excelente
13,6.3,0.39,0.16,1.4,0.08,11.0,23.0,0.9955,3.34,0.56,9.3,Buena
14,7.6,0.41,0.24,1.8,0.08,4.0,11.0,0.9962,3.28,0.59,9.5,Buena
15,7.1,0.71,0.0,1.9,0.08,14.0,35.0,0.9972,3.47,0.55,9.4,Buena
16,7.8,0.645,0.0,2.0,0.0819999999999999,8.0,16.0,0.9964,3.38,0.59,9.8,Excelente
17,6.7,0.675,0.07,2.4,0.089,17.0,82.0,0.9958,3.35,0.54,10.1,Buena
18,8.3,0.655,0.12,2.3,0.083,15.0,113.0,0.9966,3.17,0.66,9.8,Buena
19,5.2,0.32,0.25,1.8,0.103,13.0,50.0,0.9957,3.38,0.55,9.2,Buena
20,7.8,0.6,0.14,2.4,0.086,3.0,15.0,0.9975,3.42,0.6,10.8,Excelente
21,7.3,0.45,0.36,5.9,0.074,12.0,87.0,0.9978,3.33,0.83,10.5,Buena
22,8.8,0.61,0.3,2.8,0.088,17.0,46.0,0.9976,3.26,0.51,9.3,Aceptable
23,8.1,0.66,0.22,2.2,0.069,9.0,23.0,0.9968,3.3,1.2,10.3,Buena
24,4.6,0.52,0.15,2.1,0.054,8.0,65.0,0.9934,3.9,0.56,13.1,Aceptable
25,8.8,0.66,0.26,1.7,0.074,4.0,23.0,0.9971,3.15,0.74,9.2,Buena
26,6.6,0.52,0.04,2.2,0.069,8.0,15.0,0.9956,3.4,0.63,9.4,Excelente
27,8.6,0.38,0.36,3.0,0.081,30.0,119.0,0.997,3.2,,9.4,Buena
28,7.6,0.51,0.15,2.8,0.11,33.0,73.0,0.9955,3.17,0.63,10.2,Excelente
29,10.2,0.42,0.57,3.4,0.07,4.0,10.0,0.9971,3.04,0.63,9.6,Buena
30,7.8,0.59,0.18,2.3,0.076,17.0,54.0,0.9975,3.43,0.59,10.0,Buena
31,7.3,0.39,0.31,2.4,0.074,9.0,46.0,0.9962,3.41,0.54,9.4,Excelente
32,7.0,0.735,0.05,2.0,0.081,13.0,54.0,0.9966,3.39,0.57,9.8,Buena
33,7.2,0.725,0.05,4.65,0.086,4.0,11.0,0.9962,3.41,0.39,10.9,Buena
34,7.2,0.725,0.05,4.65,0.086,4.0,11.0,0.9962,3.41,0.39,10.9,Buena
35,8.0,0.705,0.05,1.9,0.074,8.0,19.0,0.9962,3.34,0.95,10.5,Excelente
36,7.7,,0.22,1.9,0.084,18.0,94.0,0.9961,3.31,0.48,9.5,Buena
37,8.8,0.41,0.64,2.2,0.093,9.0,42.0,0.9986,3.54,0.66,10.5,Buena
38,,0.785,0.0,2.4,0.104,14.0,30.0,0.9966,3.52,0.55,10.7,Excelente
39,8.3,,0.2,1.5,0.08,27.0,119.0,0.9972,3.16,1.12,9.1,Aceptable
40,6.2,0.45,0.2,1.6,0.069,3.0,15.0,0.9958,3.41,,9.2,Buena
41,7.4,0.5,0.47,2.0,0.086,21.0,73.0,0.997,3.36,0.57,9.1,Buena
42,6.3,0.3,0.48,1.8,0.069,18.0,61.0,0.9959,3.44,0.78,10.3,Excelente
43,6.9,0.55,0.15,2.2,0.076,19.0,40.0,0.9961,3.41,0.59,10.1,Buena
44,8.6,0.49,0.28,1.9,0.11,20.0,136.0,0.9972,2.93,1.95,9.9,Excelente
45,7.7,0.49,0.26,1.9,0.062,9.0,31.0,0.9966,3.39,0.64,9.6,Buena
46,7.0,0.62,0.08,1.8,0.076,8.0,24.0,0.9978,3.48,0.53,9.0,Buena
47,7.9,0.52,0.26,1.9,0.079,42.0,140.0,0.9964,3.23,0.54,9.5,Buena
48,7.7,,0.26,1.9,0.062,9.0,31.0,0.9966,,0.64,9.6,Buena
49,6.8,0.775,0.0,3.0,0.102,8.0,23.0,0.9965,3.45,0.56,10.7,Buena
50,7.6,0.9,0.06,2.5,0.079,5.0,10.0,0.9967,3.39,0.56,9.8,Buena
51,8.1,0.545,0.18,1.9,0.08,13.0,35.0,0.9972,3.3,,9.0,Excelente
52,8.3,0.61,0.3,2.1,0.084,11.0,50.0,0.9972,3.4,0.61,10.2,Excelente
53,8.1,0.545,0.18,1.9,0.08,13.0,35.0,0.9972,3.3,0.59,9.0,Excelente
54,8.1,0.575,0.22,2.1,0.077,12.0,65.0,0.9967,,0.51,9.2,Buena
55,7.2,,0.24,2.2,0.07,5.0,36.0,0.996,3.33,0.48,9.4,Buena
56,8.1,,0.22,2.1,0.077,12.0,65.0,0.9967,3.29,0.51,9.2,Buena
57,7.8,0.41,0.68,1.7,0.467,18.0,69.0,0.9973,3.08,1.31,9.3,Buena
58,6.2,0.63,0.31,1.7,0.088,15.0,64.0,0.9969,3.46,,9.3,Buena
59,7.8,0.56,0.19,1.8,0.104,12.0,47.0,0.9964,3.19,0.93,9.5,Buena
